Tema,Ciudad,Fecha,Número de lote,URL,Título del lote,Nombre del artista,Precio estimado,Precio de venta,URL imagen
British and European Art,LONDON,4 JUN 2024,LOT 25,https://www.christies.com/en/lot/lot-6486249?ldp_breadcrumb=back,Le galop d’essai,"VITTORIO MATTEO CORCOS (ITALIAN, 1859-1933)","GBP 50,000 - 70,000","GBP 94,500",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0025_000(vittorio_matteo_corcos_le_galop_d8217essai_d6486249120840).jpg
British and European Art,LONDON,4 JUN 2024,LOT 26,https://www.christies.com/en/lot/lot-6486250?ldp_breadcrumb=back,A Grey Hunter in an Extensive Landscape (recto); A Study for an Extensive Landscape (verso),"SIR ALFRED JAMES MUNNINGS, P.R.A., R.W.S. (BRITISH, 1878-1959)","GBP 60,000 - 80,000","GBP 69,300",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0026_000(sir_alfred_james_munnings_pra_rws_a_grey_hunter_in_an_extensive_landsc_d6486250120854).jpg
British and European Art,LONDON,4 JUN 2024,LOT 27,https://www.christies.com/en/lot/lot-6486251?ldp_breadcrumb=back,"H.R.H. The Princess Royal on 'Portumna', and the Earl of Harewood, Master of the Bramham Moor Hunt, on 'Tommy'","SIR ALFRED JAMES MUNNINGS, P.R.A., R.W.S. (BRITISH, 1878-1959)","GBP 800,000 - 1,200,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0027_000(sir_alfred_james_munnings_pra_rws_hrh_the_princess_royal_on_portumna_a_d6486251120915).jpg
British and European Art,LONDON,4 JUN 2024,LOT 28,https://www.christies.com/en/lot/lot-6486254?ldp_breadcrumb=back,"Hall of the Grand Council, Doge's Palace, Venice","JOHN SINGER SARGENT, R.A. (AMERICAN, 1856-1925)","GBP 400,000 - 600,000","GBP 504,000",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0028_000(john_singer_sargent_ra_hall_of_the_grand_council_doges_palace_venice120933).jpg
British and European Art,LONDON,4 JUN 2024,LOT 29,https://www.christies.com/en/lot/lot-6486787?ldp_breadcrumb=back,The Bay of Cadiz - Moonlight,"FREDERIC, LORD LEIGHTON, P.R.A. (BRITISH, 1830-1896)","GBP 20,000 - 30,000","GBP 32,760",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0029_000(frederic_lord_leighton_pra_the_bay_of_cadiz_-_moonlight120951).jpg
British and European Art,LONDON,4 JUN 2024,LOT 30,https://www.christies.com/en/lot/lot-6486258?ldp_breadcrumb=back,"Portrait of Nicolas Ionides (1815-1873), half-length, in Greek costume","GEORGE FREDERIC WATTS, O.M., R.A. (BRITISH, 1817-1904)","GBP 20,000 - 30,000","GBP 35,280",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0030_000(george_frederic_watts_om_ra_portrait_of_nicolas_ionides_half-length_in_d6486258121009).jpg
British and European Art,LONDON,4 JUN 2024,LOT 31,https://www.christies.com/en/lot/lot-6486266?ldp_breadcrumb=back,"The Grand Canal, Venice","RUBENS SANTORO (ITALIAN, 1859-1942)","GBP 50,000 - 70,000","GBP 50,400",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0031_000(rubens_santoro_the_grand_canal_venice_d6486266121028).jpg
British and European Art,LONDON,4 JUN 2024,LOT 32,https://www.christies.com/en/lot/lot-6486267?ldp_breadcrumb=back,Conversazione,"FEDERICO ZANDOMENEGHI (ITALIAN, 1841-1917)","GBP 230,000 - 270,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0032_000(federico_zandomeneghi_conversazione_d6486267121046).jpg
British and European Art,LONDON,4 JUN 2024,LOT 33,https://www.christies.com/en/lot/lot-6486270?ldp_breadcrumb=back,Embarquement sur le Môle,"FÉLIX ZIEM (FRENCH, 1821-1911)","GBP 20,000 - 40,000","GBP 12,600",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0033_000(felix_ziem_embarquement_sur_le_mole_d6486270121107).jpg
British and European Art,LONDON,4 JUN 2024,LOT 34,https://www.christies.com/en/lot/lot-6486789?ldp_breadcrumb=back,Le repos,"FEDERICO ZANDOMENEGHI (ITALIAN, 1841-1917)","GBP 70,000 - 100,000","GBP 75,600",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0034_000(federico_zandomeneghi_le_repos121123).jpg
British and European Art,LONDON,4 JUN 2024,LOT 35,https://www.christies.com/en/lot/lot-6486278?ldp_breadcrumb=back,Effetto di Neve,"CESARE MAGGI (ITALIAN, 1881-1961)","GBP 15,000 - 25,000","GBP 12,600",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0035_000(cesare_maggi_effetto_di_neve121149).jpg
British and European Art,LONDON,4 JUN 2024,LOT 36,https://www.christies.com/en/lot/lot-6486280?ldp_breadcrumb=back,Profilo di Donna,"FEDERICO ZANDOMENEGHI (ITALIAN, 1841-1917)","GBP 50,000 - 70,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0036_000(federico_zandomeneghi_profilo_di_donna121211).jpg
British and European Art,LONDON,4 JUN 2024,LOT 37,https://www.christies.com/en/lot/lot-6486281?ldp_breadcrumb=back,The Answer,"LUDWIG DEUTSCH (AUSTRIAN, 1855-1935)","GBP 400,000 - 600,000","GBP 252,000",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0037_000(ludwig_deutsch_the_answer121237).jpg
British and European Art,LONDON,4 JUN 2024,LOT 38,https://www.christies.com/en/lot/lot-6486283?ldp_breadcrumb=back,The Gun Seller,"GIULIO ROSATI (ITALIAN, 1858-1917)","GBP 7,000 - 10,000","GBP 2,142",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0038_000(giulio_rosati_the_gun_seller121257).jpg
British and European Art,LONDON,4 JUN 2024,LOT 39,https://www.christies.com/en/lot/lot-6486284?ldp_breadcrumb=back,The Market Square,"GIULIO ROSATI (ITALIAN, 1858-1917)","GBP 7,000 - 10,000","GBP 1,386",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0039_000(giulio_rosati_the_market_square121319).jpg
British and European Art,LONDON,4 JUN 2024,LOT 40,https://www.christies.com/en/lot/lot-6486285?ldp_breadcrumb=back,The Morning Prayer,"CARL HAAG, R.W.S. (GERMAN, 1820-1915)","GBP 7,000 - 10,000","GBP 6,930",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0040_000(carl_haag_rws_the_morning_prayer121341).jpg
British and European Art,LONDON,4 JUN 2024,LOT 41,https://www.christies.com/en/lot/lot-6486297?ldp_breadcrumb=back,On the outskirts of Cairo,"CARL FREDERICH HEINRICH WERNER (GERMAN, 1808-1894)","GBP 8,000 - 12,000","GBP 1,638",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0041_000(carl_frederich_heinrich_werner_on_the_outskirts_of_cairo121404).jpg
British and European Art,LONDON,4 JUN 2024,LOT 42,https://www.christies.com/en/lot/lot-6486299?ldp_breadcrumb=back,Sheikh el Belled: Kom Ombo,"JOHN FREDERICK LEWIS, R.A., P.R.W.S. (BRITISH, 1805-1876)","GBP 3,000 - 5,000","GBP 6,300",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0042_000(john_frederick_lewis_sheikh_el_belled_kom_ombo121427).jpg
British and European Art,LONDON,4 JUN 2024,LOT 43,https://www.christies.com/en/lot/lot-6486300?ldp_breadcrumb=back,"Portrait of Louisa Madeleine Keith-Falconer, née Hawkins (1828-1916), Countess of Kintore, full-length, in a white dress","SIR FRANCIS GRANT, P.R.A. (BRITISH, 1803-1878)","GBP 12,000 - 18,000","GBP 32,760",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0043_000(sir_francis_grant_pra_portrait_of_louisa_madeleine_keith-falconer_nee121443).jpg
British and European Art,LONDON,4 JUN 2024,LOT 44,https://www.christies.com/en/lot/lot-6486301?ldp_breadcrumb=back,Spring (or 'In the bluebell wood'),"GEORGE HENRY, R.A., R.S.A., R.S.W. (BRITISH, 1858-1943)","GBP 80,000 - 120,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0044_000(george_henry_ra_rsa_rsw_spring121457).jpg
British and European Art,LONDON,4 JUN 2024,LOT 45,https://www.christies.com/en/lot/lot-6486303?ldp_breadcrumb=back,Girls among the blossom,"EDWARD ATKINSON HORNEL (BRITISH, 1864-1933)","GBP 10,000 - 15,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0045_000(edward_atkinson_hornel_girls_among_the_blossom121512).jpg
British and European Art,LONDON,4 JUN 2024,LOT 46,https://www.christies.com/en/lot/lot-6486790?ldp_breadcrumb=back,The Water Carrier,"JOSEPH CRAWHALL, R.S.W. (BRITISH, 1861-1913)","GBP 5,000 - 8,000","GBP 7,560",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0046_000(joseph_crawhall_rsw_the_water_carrier121534).jpg
British and European Art,LONDON,4 JUN 2024,LOT 47,https://www.christies.com/en/lot/lot-6486313?ldp_breadcrumb=back,"Portrait of Lucien Simon (1861-1945), three-quarter-length","DAME LAURA KNIGHT, R.A., R.W.S. (BRITISH, 1877-1970)","GBP 1,500 - 2,500","GBP 1,260",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0047_000(dame_laura_knight_ra_rws_portrait_of_lucien_simon_three-quarter-length121552).jpg
British and European Art,LONDON,4 JUN 2024,LOT 48,https://www.christies.com/en/lot/lot-6486314?ldp_breadcrumb=back,Lady in a blue dress,"DAME LAURA KNIGHT, R.A., R.W.S. (BRITISH, 1877-1970)","GBP 6,000 - 8,000","GBP 13,860",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0048_000(dame_laura_knight_ra_rws_lady_in_a_blue_dress121610).jpg
British and European Art,LONDON,4 JUN 2024,LOT 49,https://www.christies.com/en/lot/lot-6486791?ldp_breadcrumb=back,Going to School,"DAME LAURA KNIGHT, R.A., R.W.S. (BRITISH, 1877-1970)","GBP 12,000 - 18,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0049_000(dame_laura_knight_ra_rws_going_to_school121628).jpg
British and European Art,LONDON,4 JUN 2024,LOT 50,https://www.christies.com/en/lot/lot-6486319?ldp_breadcrumb=back,The Plough,"SIR GEORGE CLAUSEN, R.A., R.W.S. (BRITISH, 1852-1944)","GBP 6,000 - 10,000","GBP 6,300",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0050_000(sir_george_clausen_ra_rws_the_plough121647).jpg
British and European Art,LONDON,4 JUN 2024,LOT 51,https://www.christies.com/en/lot/lot-6486322?ldp_breadcrumb=back,Burning Weeds,"PETER WALKER NICHOLSON (BRITISH, 1856-1885)","GBP 5,000 - 8,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0051_000(peter_walker_nicholson_burning_weeds121702).jpg
